Year,YearMonth,Segment,Ship Mode,Product ID,Product Name,Sales,Sales_EastWest,Sales_CentralSouth
2019,201905,Corporate,First Class,OFF-BI-10001890,Avery Poly Binder Pockets,5.728,5.728,0
2019,201911,Consumer,Standard Class,TEC-MA-10003176,Okidata B400 Printer,686.4,686.4,0
2017,201703,Consumer,Same Day,OFF-AR-10003732,Newell 333,4.448,0,4.448
2017,201710,Consumer,First Class,FUR-CH-10000749,Office Star - Ergonomic Mid Back Chair with 2-Way Adjustable Arms,1628.82,1628.82,0
2019,201901,Corporate,Standard Class,TEC-CO-10000971,Hewlett Packard 310 Color Digital Copier,959.968,0,959.968
2019,201911,Consumer,Second Class,FUR-CH-10004875,Harbour Creations 67200 Series Stacking Chairs,113.888,113.888,0
2018,201806,Corporate,Standard Class,OFF-LA-10000443,Avery 501,5.904,5.904,0
2017,201709,Consumer,First Class,FUR-BO-10004218,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",493.43,0,493.43
2019,201903,Consumer,First Class,OFF-ST-10001291,"Tenex Personal Self-Stacking Standard File Box, Black/Gray",67.64,0,67.64
2019,201911,Corporate,Standard Class,TEC-AC-10003832,Imation 16GB Mini TravelDrive USB 2.0 Flash Drive,99.39,99.39,0
2019,201911,Home Office,Standard Class,OFF-PA-10004675,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",5.08,0,5.08
2020,202011,Corporate,Second Class,FUR-FU-10000820,Tensor Brushed Steel Torchiere Floor Lamp,50.97,50.97,0
2020,202012,Home Office,Standard Class,OFF-AP-10002457,"Eureka The Boss Plus 12-Amp Hard Box Upright Vacuum, Red",209.3,0,209.3
2017,201712,Consumer,Standard Class,OFF-AP-10002350,Belkin F9H710-06 7 Outlet SurgeMaster Surge Protector,207.24,0,207.24
2017,201711,Corporate,Standard Class,OFF-AR-10003752,Deluxe Chalkboard Eraser Cleaner,57.75,57.75,0
2020,202009,Corporate,Standard Class,OFF-FA-10000621,"OIC Colored Binder Clips, Assorted Sizes",17.9,17.9,0
2018,201809,Corporate,Second Class,OFF-PA-10003172,Xerox 1996,25.92,0,25.92
2020,202004,Consumer,Standard Class,OFF-PA-10004911,"Rediform S.O.S. 1-Up Phone Message Bk, 4-1/4x3-1/16 Bk, 1 Form/Pg, 40 Messages/Bk, 3/Pk",28.14,28.14,0
2020,202012,Consumer,Standard Class,TEC-AC-10003116,Memorex Froggy Flash Drive 8 GB,14.2,14.2,0
2020,202006,Consumer,Standard Class,OFF-BI-10000309,"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black",12.176,0,12.176
2019,201911,Consumer,Standard Class,TEC-PH-10004120,AT&T 1080 Phone,657.552,0,657.552
2019,201907,Corporate,Second Class,TEC-AC-10000358,Imation Secure Drive + Hardware Encrypted USB flash drive - 16 GB,75.98,0,75.98
2018,201809,Consumer,Second Class,OFF-AR-10004042,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",35.96,35.96,0
2019,201905,Corporate,Standard Class,OFF-AP-10000390,Euro Pro Shark Stick Mini Vacuum,48.784,0,48.784
